title,brand_name,item_type,condition,price,item_subtype,department,gender,age_group,size,size_type,color_primary,color_secondary,material_primary,material_secondary,pattern,closure,fit,sleeve_length,neckline,style,occasion,season,sport,model_name,product_line,style_code,has_box,condition_detail,release_year,original_price,initial_price,initial_price_catalog_item
S Sport By Skechers Toddler Nessa Sneakers - Pink 7T Opens in a new window or tab,Skechers,sneakers,new,14.44,nessa sneakers,footwear,girls,toddler,7T,,pink,,,,,,,,,,,,,Nessa,S Sport,,,other,,49.99,,Minimal Sneakers
FUBU The Collection Mens Sz 8.5 Black Reed 3 Mid Cut Lace Up Athletic Shoes NEW Opens in a new window or tab,FUBU,sneakers,new,35.99,athletic shoes,footwear,men,adult,8.5,US,black,,,,,lace up,,,,,,,,The Collection,,,,,,79.99,,Running Shoes
Nike Throwing Shoes Zoom Rotational 6 Anthracite Bright Spruce Men's Size 8.5 Opens in a new window or tab,Nike,sneakers,used,59.95,throwing shoes,footwear,men,adult,8.5,US,Anthracite,Bright Spruce,,,,,,,,,,,,Zoom Rotational 6,,,,New (Other),,129.99,,Running Shoes
S Sport By Skechers Toddler Nessa Sneakers - Pink 12T Opens in a new window or tab,Skechers,sneakers,new,17.99,nessa sneakers,footwear,girls,toddler,12T,US K,Pink,,,,,,,,,,,,,Nessa,S Sport,,,Brand New,,49.99,,Minimal Sneakers
S Sport By Skechers Toddler Nessa Sneakers - Pink 10T Opens in a new window or tab,Skechers,sneakers,new,17.99,toddler sneakers,footwear,girls,toddler,10T,,Pink,,,,,,,,,,,,,Nessa,S Sport,,,Brand New,,34.99,,Minimal Sneakers
NEW Fila Grant Hill 2 History 1BM01354-133 Mens 11- 1/2 White Basketball Shoes Opens in a new window or tab,Fila,sneakers,new,85.0,basketball shoes,footwear,men,adult,11.5,US,White,,,,,,,,,,,,Basketball,Grant Hill 2,,1BM01354-133,,New (Other),,120.0,,Running Shoes
NEW ASICS GEL-Contend 7 Running Sneakers Women's Sz 6 Mist/Blazing Coral Opens in a new window or tab,ASICS,sneakers,new,50.0,running sneakers,footwear,women,adult,6,US,Mist,Blazing Coral,,,,,,,,,,,,GEL-Contend 7,,,,Other,,64.99,,Running Shorts
Avia 880 basketball Shoes Size 10. 461/1000 Opens in a new window or tab,Avia,sneakers,new,275.0,basketball shoes,footwear,men,adult,10,US,,,,,,,,,,,,,basketball,880,,,,Brand New,,99.99,,Running Shoes
Harley-Davidson Men's Breman Brown Motorcycle Sneaker Boots Size 8 D96261 Opens in a new window or tab,Harley-Davidson,sneakers,new,94.99,motorcycle sneaker boots,footwear,men,adult,8,US,brown,,,,,,,,,motorcycle,,,,Breman,,D96261,,,,149.99,,Leather Boots
New w Box Converse CTS OX Black White Santa Cruz Jason Jessee Skateboard Shoes Opens in a new window or tab,Converse,sneakers,new,110.0,skateboard shoes,footwear,,,11.5,US,Black,White,,,,,,,,,,,Skateboard,CTS OX,,,yes,Brand New,,120.0,,Board Shorts
DEADSTOCK 2021 Retro Nike Air Structure OG size 10 NEOTEAL INFRARED 80s 90 Opens in a new window or tab,Nike,sneakers,new,110.0,running shoes,footwear,men,adult,10,US,NEOTEAL,INFRARED,,,,,,,,Retro,,,,Air Structure OG,Air Structure,,,Brand New,2021.0,130.0,,Swim Trunks
Kenneth Cole New York Men's Double Header Fashion Sneaker Shoes - Black Opens in a new window or tab,Kenneth Cole New York,sneakers,new,99.0,fashion sneaker,footwear,men,adult,17,US,black,,,,,,,,,,,,,Double Header,,,,,,129.99,,Running Shoes
Seychelles Los Angeles Naples Off White Leather IB03293 US Women’s Size 11 Opens in a new window or tab,Seychelles,sneakers,new,30.0,,footwear,women,adult,11,US,Off White,,Leather,,,,,,,,,,,Naples,,IB03293,,,,98.0,,Leather Jacket
Under Armour Women’s Charged Assert 10 Running Shoes – Size 8.5 – Black / Blue Opens in a new window or tab,Under Armour,sneakers,new,34.42,running shoes,footwear,women,adult,8.5,US,black,blue,,,,,,,,,,,,Charged Assert 10,,,,,,80.0,,Running Shoes
DS Women's Nike Air Jordan 1 Retro High NC to Chicago Blue Red Sz 11 (Men's 9.5) Opens in a new window or tab,Nike,sneakers,new,139.0,Air Jordan 1 Retro High,footwear,women,adult,11,US W,Blue Red,,,,,,,,,,,,,Air Jordan 1,,,,Brand New,,170.0,,Swim Trunks
Nike Zoom Superfly Elite 2 Men's Size 11 Track & Field Spikes White FZ9662-100 Opens in a new window or tab,Nike,sneakers,used,44.99,track & field spikes,footwear,men,adult,11,US,White,,,,,,,,,,,,Track & Field,Zoom Superfly Elite 2,Superfly,FZ9662-100,,New (Other),,180.0,,Field Jacket
"Nike Dunk Pro SB Low Electric Pack Size 8.5, Olympic Safari Phantom Opens in a new window or tab",Nike,sneakers,new,100.0,low top sneakers,footwear,men,adult,8.5,US,Electric,,,,,,,,,,,,,Dunk Pro SB,,,,,,130.0,,Swim Trunks
Yeezy Mens Shoes By Kanye West Size 15 Brand New Opens in a new window or tab,Yeezy,sneakers,new,40.0,,footwear,men,adult,15,US,,,,,,,,,,,,,,,,,,New (Other),,250.0,,Sports Bra
Saucony Peregrine 12 'ViZiGold' Yellow/Red/Grey S20737-16 Men's Size 11.5 Opens in a new window or tab,Saucony,sneakers,new,55.0,running shoes,footwear,men,adult,11.5,US,Yellow,Red/Grey,,,,,,,,,,,,Peregrine 12,,S20737-16,,Brand New,,130.0,,Swim Trunks
Nike Immortality Size 10.5 Toddler Shoes Brand New Box Opens in a new window or tab,Nike,sneakers,new,22.0,toddler shoes,footwear,,toddler,10.5,,,,,,,,,,,,,,,Immortality,,,yes,Brand New,,45.0,,Sports Bra
Nike Free Run Motion Flyknit Strap Sneakers Black White Oreo 942840-001 Sz. 14 Opens in a new window or tab,Nike,sneakers,used,90.0,running shoes,footwear,men,adult,14,US,Black,White,,Flyknit,Oreo,,,,,,,,,Free Run Motion,,942840-001,,New (Other),,130.0,,Minimal Sneakers
Nike Air Jordan 1 Mid GS Diamond Shorts Black White Youth Size 7y Shoes New Opens in a new window or tab,Nike,sneakers,new,109.99,Air Jordan 1 Mid,footwear,boys,kids,7y,US,Black,White,,,,,,,,,,,,Air Jordan 1 Mid,,,,Brand New,,130.0,,Board Shorts
Saucony Endorphin Pro 2 Vizipro Women’s Size 9 Running Shoe NIB Free Ship Opens in a new window or tab,Saucony,sneakers,new,110.0,running shoes,footwear,women,adult,9,US,,,,,,,,,,,,,running,Endorphin Pro 2 Vizipro,,,yes,NIB,,130.0,,Zip Hoodie
New Listing Nike Sb Dunk Low Pro Cool Grey Sneakers Size 9 Opens in a new window or tab,Nike,sneakers,new,165.0,Dunk Low Pro,footwear,men,adult,9,US,Cool Grey,,,,,,,,,,,,,Dunk,SB,,,Brand New,,,,Minimal Sneakers
Satorisan Heisei Shoes Olive Sand Lace Up Low Top EU 42 US 9.5M 10.5W Sneakers Opens in a new window or tab,Satorisan,sneakers,new,54.37,low top sneakers,footwear,unisex,,9.5M 10.5W,,olive,sand,,,,lace up,,,,,,,,Heisei,,,,,,,,Minimal Sneakers
Nike SB Dunk Low Concepts Orange Lobster Sneakers Size 12 DS Brand New OG All Opens in a new window or tab,Nike,sneakers,new,595.0,Dunk Low,footwear,,,12,US,Orange,,,,,,,,,,,,,SB Dunk Low Concepts Orange Lobster,,,,Brand New,,,,Sports Bra
New Listing Adidas Adizero Avanti Track & Field Spikes Lucid Green Size 9 New with Spikes Opens in a new window or tab,Adidas,sneakers,new,59.99,track & field spikes,footwear,,,9,US,Lucid Green,,,,,,,,,,,,Track & Field,Adizero Avanti,,,,New (Other),,,,Field Jacket
New Listing Size 9.5 - adidas Adizero Ambition Lucid Lemon Black IH5798 New with Spikes Opens in a new window or tab,adidas,sneakers,new,69.99,spikes,footwear,,,9.5,US,Black,Lucid Lemon,,,,,,,,,,,,Adizero Ambition,Adizero,IH5798,,New (Other),,,,Swim Trunks
On Cloud 5 Men's Midnight White Running Shoes Size US 8 (59.98916) Opens in a new window or tab,On,sneakers,new,115.0,running shoes,footwear,men,adult,8,US,Midnight White,,,,,,,,,,,,,On Cloud 5,,,,Brand New,,,395.0,Dress Shoes
Nike Phantom Luna II Elite FG Pink Prism Pack Cleats FJ2572-800 Men’s Size 11.5 Opens in a new window or tab,Nike,cleats,used,75.0,Phantom Luna II Elite FG,footwear,men,adult,11.5,US,Pink,,,,,,,,,,,,soccer,Phantom Luna II Elite FG,,FJ2572-800,,New (Other),,,,Swim Trunks
New Womens Nike ZoomX Vaporfly Next% 3 Guava Ice Running Shoes Sneakers 8.5 M Opens in a new window or tab,Nike,sneakers,new,102.39,running shoes,footwear,women,adult,8.5,M,Guava Ice,,,,,,,,,,,,running,ZoomX Vaporfly Next% 3,,,,(Other),,,,Running Shoes
"Nike Air Zoom Pegasus 32 Men’s SZ 11, Black/white-pure Platinum Opens in a new window or tab",Nike,sneakers,new,45.0,running shoes,footwear,men,adult,11,US,Black,White,,,,,,,,,,,,Air Zoom Pegasus 32,,,,,,,,Swim Trunks
Ralph Lauren Purple Label Raelyn Sneaker Pumps - 7.5 (37.5 B) - Antique White Opens in a new window or tab,Ralph Lauren,sneakers,new,209.95,sneaker pumps,footwear,women,adult,7.5,US,Antique White,Purple,,,,,,,,,,,,Raelyn,Purple Label,,,New (Other),,,,Swim Trunks
La Sportiva® Men's 13 Kaptiva Trail Running Shoes in Yellow/Black Opens in a new window or tab,La Sportiva,sneakers,new,144.43,trail running shoes,footwear,men,adult,13,US,Yellow,Black,,,,,,,,,,,running,Kaptiva,,,,Brand New,,,,Running Shoes
New Nike Air Jordan Max Aura White Black Size 10 Mens Sneakers NIB Shoes Opens in a new window or tab,Nike,sneakers,new,79.97,Air Jordan Max Aura,footwear,men,adult,10,US,White,Black,,,,,,,,,,,,Air Jordan Max Aura,,,yes,Brand New,,,,Minimal Sneakers
256617X SP50 BANKS LACE TO TOE MEN'S SHOES 9 M TAUPE LEATHER JOHNSTON MURPHY Opens in a new window or tab,Johnston Murphy,shoes,used,25.95,lace to toe,footwear,men,adult,9,US,taupe,,leather,,,lace,,,,,,,,SP50 BANKS,,256617X,,New (Other),,,,Leather Jacket
adidas PureBoost 23 Cloud white Men's athletic Shoes Sz 9/Brand New COMFORTABLE! Opens in a new window or tab,adidas,sneakers,new,60.0,athletic Shoes,footwear,men,adult,9,US,white,,,,,,,,,,,,,PureBoost 23 Cloud,,,,Brand New,,,,Sports Bra
HTXJPN FUJI 2 Panda High Top Sneakers Red Black Men's Size 10 UK 9 EU 44 Opens in a new window or tab,HTXJPN,sneakers,used,35.0,high top sneakers,footwear,men,adult,10,US,red,black,,,,,,,,,,,,FUJI 2,,,,New (Other),,,,Minimal Sneakers
Adidas Superstar II Sneakers Mens 10 Black White JI0079 Shell Toe Low Top Shoes Opens in a new window or tab,Adidas,sneakers,used,59.99,Superstar II,footwear,men,adult,10,US,Black,White,,,,,,,,,,,,Superstar II,adidas Originals,JI0079,,New (Other),,,,Minimal Sneakers
"Brooks Glycerin 20 Women's Running Shoes Oyster/Latigo Bay/Coral, Size 9 Opens in a new window or tab",Brooks,sneakers,used,100.0,running shoes,footwear,women,adult,9,US,Oyster,Latigo Bay/Coral,,,,,,,,,,,running,Glycerin 20,,,,New (Other),,,,Running Shoes
Air Jordan 12 Retro Chinese New Year Men’s Size 10 Opens in a new window or tab,Jordan,sneakers,new,210.0,Air Jordan 12 Retro,footwear,men,adult,10,US,,,,,,,,,,,,,,Air Jordan 12,,,,Brand New,,,,Swim Trunks
"VANS Skate Old Skool, Thrasher Black/Multi - VN0005W0BML - US Shoe Size 12 Opens in a new window or tab",VANS,sneakers,new,39.99,skate sneakers,footwear,,,12,US,Black,Multi,,,,,,,,,,,skate,Old Skool,,VN0005W0BML,,,,,90.0,Slip-On Sneakers
New Listing Converse Chuck Taylor All Star Gray High Top Canvas Sneakers Rubber Outsole Opens in a new window or tab,Converse,sneakers,new,30.0,high top sneakers,footwear,,,9,US,Gray,,Canvas,Rubber,,,,,,,,,,Chuck Taylor All Star,,,,Brand New,,,,Canvas Tote
New Womens $160 Karhu Synchron Ortix Athletic Running Shoes Size 10 Opens in a new window or tab,Karhu,sneakers,new,51.19,running shoes,footwear,women,adult,10,US W,,,,,,,,,,athletic,,,running,Synchron Ortix,,,,Brand New,,160.0,,Running Shoes
A S I C S GEL-Cumulus 24 Running Shoes FF Blast Sheet Rock Pink Glo Size 12 44.5 Opens in a new window or tab,ASICS,sneakers,new,110.25,running shoes,footwear,women,adult,12,US,Pink,Rock,,,,,,,,,,,,GEL-Cumulus 24,,,,Brand New,,,,Running Shoes
Nike Air Zoom Victory 2 Bright Crimson Lime Blast FD8411-600 NBY Men’s Size 10.5 Opens in a new window or tab,Nike,sneakers,used,79.99,running shoes,footwear,men,adult,10.5,,Bright Crimson,Lime Blast,,,,,,,,,,,,Air Zoom Victory 2,,FD8411-600,,New (Other),,,,Swim Trunks
NIKE AIR JORDAN 1 Mid SE White Legend Blue Sz 5.5Y/US Women 7.5 NEW IN BOX Opens in a new window or tab,NIKE,sneakers,new,97.5,AIR JORDAN 1 Mid SE,footwear,women,,5.5Y/US Women 7.5,,White,Legend Blue,,,,,,,,,,,,AIR JORDAN 1,,,yes,Brand New,,,,Swim Trunks
Nike x Fragment Book 2 Black Royal Sport Blue - Size 10.5 Men - NEW Opens in a new window or tab,Nike,sneakers,new,224.98,running shoes,footwear,men,adult,10.5,US,Black,Royal Blue,,,,,,,,,,,,Fragment Book 2,,,,Brand New,,,,Swim Trunks
New Balance Teddy Santis x 993 Size 10.5 Made in USA Interstellar U993PG Purple Opens in a new window or tab,New Balance,sneakers,new,135.0,993,footwear,,,10.5,US,Purple,,,,,,,,,,,,,Teddy Santis x 993,,U993PG,,Brand New,,,,Swim Trunks
Nike Phantom Venom Academy FG Metallic Grey Crimson Size 11.5 AO0566-906 Opens in a new window or tab,Nike,sneakers,used,119.99,soccer cleats,footwear,,,11.5,US,Grey,Crimson,,,,,,,,,,,soccer,Phantom Venom Academy FG,,AO0566-906,,New (Other),,,,Swim Trunks
Reebok Men's Pump Omni Zone II Dee Brown Sz-9 (All sizes) available also Opens in a new window or tab,Reebok,sneakers,new,111.0,Pump Omni Zone II,footwear,men,adult,9,US,,,,,,,,,,,,,,Pump Omni Zone II,,,,Brand New,,,,One-Piece Swimsuit
Nike React Pegasus Trail 4 Women Hike Sneaker Shoes Size 11.5 Opens in a new window or tab,Nike,sneakers,used,64.99,hike sneaker,footwear,women,adult,11.5,US,,,,,,,,,,,,,,React Pegasus Trail 4,,,,New (Other),,,,Trail Shoes
Men's Size 11.5-Nike Vomero 18 White Photon Dust Running Shoes HM6803-106 Opens in a new window or tab,Nike,sneakers,new,169.97,running shoes,footwear,men,adult,11.5,US,White,Photon Dust,,,,,,,,,,,,Vomero 18,,HM6803-106,,,,,,Running Shoes
Size 8 - Nike Lunar Force 1 Duckboot Black Gum Opens in a new window or tab,Nike,sneakers,new,108.88,duckboot,footwear,,,8,US,Black,Gum,,,,,,,,,,,,Lunar Force 1,,,,Brand New,,,,Swim Trunks
Adidas Yeezy Quantum 'Frozen Blue' GZ8872 Men's Size 10.5 NEW Opens in a new window or tab,Adidas,sneakers,new,59.99,Yeezy Quantum,footwear,men,adult,10.5,US,Frozen Blue,,,,,,,,,,,,,Yeezy Quantum,,GZ8872,,,,,,Swim Trunks
Keen Mens 11.5 Eldon Harvest Suede Beige Silver Birch Slip On Sneakers Shoes Opens in a new window or tab,Keen,sneakers,new,80.3,slip on sneakers,footwear,men,adult,11.5,US,Beige,Silver,Suede,,,,,,,,,,,Eldon Harvest,,,,Brand New,,,,Slip-On Sneakers
"Nike Women's Flex Experience Run 11 Next Nature , Beige/Sanddrift , size 8 Knit Opens in a new window or tab",Nike,sneakers,used,29.99,running shoes,footwear,women,adult,8,US,Beige,Sanddrift,Knit,,,,,,,,,,running,Flex Experience Run 11 Next Nature,,,,New (Other),,,,Swim Trunks
Nike Mind 001 Sail Met Plat Hyper Crimson Mens Size 10 HQ4309 100 Confirm Order Opens in a new window or tab,Nike,sneakers,new,199.98,,footwear,men,adult,10,US,Sail,Hyper Crimson,,,,,,,,,,,,Mind 001,,HQ4309,,Brand New,,,,Swim Trunks
New Hoka One One 9 Unisex Black Aster Flower 1155370 BWR Opens in a new window or tab,Hoka One One,sneakers,new,98.99,running shoes,footwear,unisex,,8,US,Black,,,,Aster Flower,,,,,,,,,9,,1155370,,,,,,One-Piece Swimsuit
Nike Air Rift - Women's Size 11 - White Leather - HM5737-100 - NEW Opens in a new window or tab,Nike,sneakers,new,140.0,,footwear,women,adult,11,US,White,,Leather,,,,,,,,,,,Air Rift,,HM5737-100,,Brand New,,140.0,,Leather Jacket
Nike React Pegasus Trail 5 Gore-Tex GTX Black Cool Grey FQ0908-001 Size 13 Opens in a new window or tab,Nike,sneakers,new,99.97,trail sneakers,footwear,men,adult,13,US,Black,Cool Grey,,Gore-Tex,,,,,,,,,,React Pegasus Trail 5,Pegasus,FQ0908-001,,,,,,Trail Shoes
Size 7 - Adidas CourtJam Control 3 Triple White Opens in a new window or tab,Adidas,sneakers,used,35.0,court shoes,footwear,,,7,US,White,,,,,,,,,,,,,CourtJam Control 3,,,,New (Other),,,,Swim Trunks
New Vans Classic Slip-On Canvas Gray Dawn / Off-White Checkerboard US 12 Men's Opens in a new window or tab,Vans,sneakers,new,45.0,slip-on,footwear,men,adult,12,US,Gray,Off-White,Canvas,,Checkerboard,,,,,,,,,Classic Slip-On,,,,,,,90.0,Slip-On Sneakers
On cloud 6 WP Black Shoes No Box Size 9.5 Men’s Opens in a new window or tab,On,sneakers,used,114.99,cloud,footwear,men,adult,9.5,US,Black,,,,,,,,,,,,,Cloud 6 WP,,,no,New (Other),,,395.0,Dress Shoes
NEW Adidas Superstar x Craig & Karl Primegreen Sneaker Men’s Size 8 GX7991 Opens in a new window or tab,Adidas,sneakers,new,53.52,Superstar,footwear,men,adult,8,US,,,Primegreen,,,,,,,,,,,Superstar,,GX7991,,New (Other),,,,Swim Trunks
Nike V2K Run Light Bone/Malt/College Grey FD0736-011 Size 10 Women Opens in a new window or tab,Nike,sneakers,new,64.97,running shoes,footwear,women,adult,10,US,Light Bone,Malt/College Grey,,,,,,,,,,,,V2K Run,,FD0736-011,,Brand New,,,,One-Piece Swimsuit
Size 11.5 - Nike KD 18 Halloween - IM1346-001 Opens in a new window or tab,Nike,sneakers,new,155.0,basketball shoes,footwear,men,adult,11.5,US,,,,,,,,,,,,,basketball,KD 18,,IM1346-001,,,,,,Swim Trunks
Reebok Lavante Trail 2 Men's Running Shoes Hiking Sneakers Trainers Black Opens in a new window or tab,Reebok,sneakers,new,54.99,running shoes,footwear,men,adult,9,US,black,,,,,,,,,,,,,Lavante Trail 2,,,,,,,,Running Shoes
"Nike Air Max Tailwind 4 ""SUPREME WHITE"" 2019 - Size 9.5 - at3854 100 (9740-2) Opens in a new window or tab",Nike,sneakers,new,170.0,Air Max Tailwind 4,footwear,men,adult,9.5,US,WHITE,,,,,,,,,,,,,Air Max Tailwind 4,,at3854 100 (9740-2),,,2019.0,,,Swim Trunks
Nike Dunk Low CLEAR JADE DV0833-101 Men's Size Opens in a new window or tab,Nike,sneakers,new,134.97,Dunk Low,footwear,men,adult,8,US,CLEAR JADE,,,,,,,,,,,,,Dunk Low,,DV0833-101,,Brand New,,,,Swim Trunks
Reebok X-Wide men's tennis shoes walk ultra 7 DMXMAX size 13 white luxcomfort c5 Opens in a new window or tab,Reebok,sneakers,new,55.0,tennis shoes,footwear,men,adult,13,US,white,,,,,,X-Wide,,,,,,tennis,DMXMAX,,c5,,,,,,Running Shoes
Reebok Legacy Lifter III 3 Pump Mens Weightlifting Black Strength Training Shoes Opens in a new window or tab,Reebok,sneakers,used,99.98,weightlifting shoes,footwear,men,adult,7.5,US,Black,,,,,,,,,,training,,weightlifting,Legacy Lifter III,,,,New (Other),,,,Running Shoes
On Cloudswift Amp Ivory/Ghost Mesh Women’s Athletic Sneaker Low Top Opens in a new window or tab,On,sneakers,new,69.0,athletic sneaker,footwear,women,adult,7,US,Ivory,Ghost,Mesh,,,,,,,,,,,Cloudswift Amp,,,,,,69.0,75.0,Swim Trunks
Nike Infinity Ace Next Nature NRG Always Fresh Mens Sz 14 Golf Shoes DX7435-007 Opens in a new window or tab,Nike,sneakers,new,65.0,golf shoes,footwear,men,adult,14,US,,,,,,,,,,,,,golf,Infinity Ace Next Nature NRG,,DX7435-007,,,,,,Running Shoes
New Balance Ellipse V1 Men's Size 11 Black/Black Not Used Only Tried On Opens in a new window or tab,New Balance,sneakers,new,70.0,Ellipse V1,footwear,men,adult,11,US,Black,Black,,,,,,,,,,,,Ellipse V1,,,,Not Used Only Tried On,,,,Swim Trunks
Nike Dunk Retro Premium Low Black Medium Ash SIze 13 Nike Dunk Lo Retro Black Opens in a new window or tab,Nike,sneakers,new,100.0,low top,footwear,men,adult,13,US,black,,,,,,medium,,,,,,,Dunk,,,,,,,,Swim Trunks
Merrell Women's Zion Hiking Shoes Size 11 $140 Waterproof Opens in a new window or tab,Merrell,sneakers,new,63.96,hiking shoes,footwear,women,adult,11,US,,,,,,,,,,,,,,Zion,,,,Brand New,,140.0,,Running Shoes
New Listing Nike Blazer Mid 77 Vintage Men's Size 13 White Black Skate Shoes Casual Sneakers Opens in a new window or tab,Nike,sneakers,new,79.0,skate shoes,footwear,men,adult,13,US,white,black,,,,,mid,,,,casual,,skate,Blazer Mid 77,,,,other,,,,Blazer
Cole Haan Zerogrand Navy Brown Sneakers Men’s US 11 Lightweight Casual Shoes NEW Opens in a new window or tab,Cole Haan,sneakers,new,65.0,casual shoes,footwear,men,adult,11,US,navy,brown,,,,,lightweight,,,,casual,,,Zerogrand,,,,New (Other),,,,Casual Dress
Size 9.5 - Nike Paul Rodriguez x Dunk Premium SB High Boxing Opens in a new window or tab,Nike,sneakers,new,180.0,high tops,footwear,men,adult,9.5,US,,,,,,,,,,Premium SB,,,,Paul Rodriguez x Dunk,,,,Brand New,,,,Swim Trunks
Size 6 Nike Shox TL Fade Blue Hero Imperial Purple Womens IH1336-401 Opens in a new window or tab,Nike,sneakers,new,199.97,Shox TL,footwear,women,adult,6,US W,Blue,Purple,,,,,,,,,,,,Shox TL,,IH1336-401,,,,199.97,,Swim Trunks
Altra M Rivera 2 Opens in a new window or tab,Altra,sneakers,new,50.0,,footwear,,,12,US,,,,,,,,,,,,,,M Rivera 2,,,,Brand New,,50.0,,Swim Trunks
Men's 10 - Nike Tiempo Legend 9 Elite FG Pro Blast Pack FD0271-146 Opens in a new window or tab,Nike,sneakers,new,180.0,soccer cleats,footwear,men,adult,10,US,,,,,,,,,,,,,soccer,Tiempo Legend 9 Elite FG,,FD0271-146,,Brand New,,,,Swim Trunks
Nike Legend 9 Elite FG Black/Black-Iron Grey CZ8482-004 Men’s Size 10 Opens in a new window or tab,Nike,sneakers,new,299.99,soccer cleats,footwear,men,adult,10,US,Black,Iron Grey,,,,,,,,,,,soccer,Legend 9 Elite FG,,CZ8482-004,,,,,,Swim Trunks
NIB Hunziker Steve McQueen 11.5 M 11 1/2 Sneakers / Driving Shoes Men’s Opens in a new window or tab,Hunziker,sneakers,new,89.0,driving shoes,footwear,men,adult,11.5,US,,,,,,,,,,,,,,,,,yes,Brand New,,,,Minimal Sneakers
New! Mens Nike Air Jordan 2/3 White Cement Grey Sail FD0383-101 Shoes. Size 8.5. Opens in a new window or tab,Nike,sneakers,new,63.74,Air Jordan,footwear,men,adult,8.5,US,White,Grey,,,,,,,,,,,,Air Jordan 2/3,,FD0383-101,,Brand New,,,,Running Shoes
Monster Jam Truck Grave Digger Boys Lace-up Canvas Sneakers Youth Shoes Size 13 Opens in a new window or tab,unknown,sneakers,used,11.86,,footwear,boys,kids,13,US K 1,,,canvas,,,lace-up,,,,,,,,,,,,New (Other),,,,Canvas Tote
Nike Air Zoom Maxfly 2 The Armory Pack Size 8.5 Mens Track & Field Shoes Opens in a new window or tab,Nike,sneakers,used,109.99,track & field shoes,footwear,men,adult,8.5,US,,,,,,,,,,,,,track & field,Air Zoom Maxfly 2,,,,New (Other),,,,Field Jacket
Nike Court Vision Next Nature Low Black White Shoes Sneakers Mens Sz 10.5 Opens in a new window or tab,Nike,sneakers,used,49.99,low top sneakers,footwear,men,adult,10.5,US,black,white,,,,,,,,,,,,Court Vision Next Nature Low,,,,New (Other),,,,Minimal Sneakers
Adidas X 15.2 Court Indoor Soccer Shoes Red/Navy Columbia AQ2527 Men's Size 10.5 Opens in a new window or tab,Adidas,sneakers,used,40.57,indoor soccer shoes,footwear,men,adult,10.5,US,Red,Navy,,,,,,,,,,,soccer,X 15.2,,AQ2527,,New (Other),,,,Running Shoes
New Timberland Pro Setra Low Composite Safety Toe Men's Work Shoes Opens in a new window or tab,Timberland,sneakers,new,34.49,work shoes,footwear,men,adult,7,US,,,,,,,,,,,work,,,Setra Low Composite Safety Toe,Timberland Pro,,,Brand New,,,,Bikini Set
New Balance W928WT3 Mens 12.5 D Medium White Walking Shoes MSRP $160+ New In Box Opens in a new window or tab,New Balance,sneakers,new,95.0,walking shoes,footwear,men,adult,12.5,US,White,,,,,,Medium,,,,,,,W928WT3,900 Series,,yes,Brand New,,160.0,,Running Shoes
Adidas Puremotion Pride Running Shoes GY6797. Women’s Sz. 10. New in Box. Opens in a new window or tab,Adidas,sneakers,new,30.0,running shoes,footwear,women,adult,10,US,,,,,,,,,,,,,,Puremotion Pride,,GY6797,yes,New in Box,,,,Running Shoes
Jordan Air Jordan 1 SE Mid Black White Metallic Silver HV0789-010 Opens in a new window or tab,Jordan,sneakers,new,65.0,Air Jordan 1,footwear,,,8.5,US,Black,White,,,,,,,,,,,,Air Jordan 1 SE,,HV0789-010,,,,,,Swim Trunks
Asics Gel Dedicate 8 White Mako Blue Size 11 Right Foot Only. Opens in a new window or tab,Asics,sneakers,used,32.0,tennis shoes,footwear,,,11,US,White,Mako Blue,,,,,,,,,,,tennis,Gel Dedicate 8,,,,New (Other),,,,Swim Trunks
Nike Zoom Rotational 6 Mens 7 Bright Crimson Volt Track Throwing NEW FZ9606-600 Opens in a new window or tab,Nike,sneakers,new,59.99,track throwing shoes,footwear,men,adult,7,US,Bright Crimson,Volt,,,,,,,,,,,track and field,Zoom Rotational 6,,FZ9606-600,,New (Other),,,,Swim Trunks
New Balance Numeric #480 Black Gum 9.5 Opens in a new window or tab,New Balance,sneakers,new,84.99,,footwear,,,9.5,US,Black,Gum,,,,,,,,,,,,Numeric #480,,,,Brand New,,,,Swim Trunks
Nike Kobe IX Elite Low EM Protro Shoes Mens Size 10 Basketball IH1401-002 Opens in a new window or tab,Nike,sneakers,new,99.49,basketball shoes,footwear,men,adult,10,US,,,,,,,,,,,,,basketball,Kobe IX Elite Low,,IH1401-002,,,,,,Running Shoes
Nike LeBron 12 Heart Of A Lion 684593-601 | Size 9 Deadstock | OG Box Opens in a new window or tab,Nike,sneakers,new,195.0,basketball shoes,footwear,men,adult,9,US,,,,,,,,,,,,,basketball,LeBron 12,Heart Of A Lion,684593-601,yes,Deadstock,,,,Swim Trunks
Nike Kobe 9 Low Protro EM China University Red IH1400-600 Men Size 10 CNY Shoes Opens in a new window or tab,Nike,sneakers,new,168.0,low top sneakers,footwear,men,adult,10,US,red,,,,,,,,,,,,,Kobe 9,,IH1400-600,,Brand New,,,,Running Shoes
Nike Air Max 90 Black White Gorge Green Mens Size 8.5 DM0029 004 New Opens in a new window or tab,Nike,sneakers,new,150.0,Air Max 90,footwear,men,adult,8.5,US,Black,"White, Green",,,,,,,,,,,,Air Max 90,,DM0029 004,,New (Other),,,,Swim Trunks
